Unnamed: 0,Price,Address,Surface,chambres,toilettes,Surface_per_room,Year_of_Construction,State
630,480000,Moujahidine,60,2,1,30,plus de 5 ans,simple
631,1600000,Branes 1,127,3,2,42.33333333,construction neuve,Luxe
632,1800000,Branes 2,250,3,2,83.33333333,construction neuve,Luxe
634,3300000,Moujahidine,120,3,2,40,construction neuve,Luxe
635,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
636,1720000,Malabata,117,3,2,39,construction neuve,Luxe
637,3700000,Val Fleuri,200,3,2,66.66666667,construction neuve,Luxe
638,420000,Tanja Balia,58,2,1,29,plus de 5 ans,simple
639,920000,Tanja Balia,80,2,1,40,moins de 5 ans,normal
640,850000,Val Fleuri,147,3,2,49,moins de 5 ans,normal
641,1104000,Tanja Balia,96,2,1,48,moins de 5 ans,normal
642,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
643,250000,Ahlane,50,2,1,25,plus de 5 ans,simple
644,750000,Mesnana,234,3,2,78,moins de 5 ans,normal
647,920000,Tanja Balia,80,2,1,40,moins de 5 ans,normal
648,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
649,1950000,Souani,90,2,1,45,construction neuve,Luxe
651,960000,Tanja Balia,80,2,1,40,moins de 5 ans,normal
652,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
654,2500000,Souani,250,3,2,83.33333333,construction neuve,Luxe
656,1331000,Val Fleuri,121,3,2,40.33333333,moins de 5 ans,normal
657,330000,Malabata,52,2,1,26,plus de 5 ans,simple
658,1000000,Ahlane,95,2,1,47.5,moins de 5 ans,normal
659,936000,Tanja Balia,78,2,1,39,moins de 5 ans,normal
660,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
661,240000,Mghogha,50,2,1,25,plus de 5 ans,simple
662,850000,Casabarata,50,2,1,25,moins de 5 ans,normal
663,1350000,Mesnana,165,3,2,55,moins de 5 ans,normal
664,1480000,Branes 1,81,2,1,40.5,construction neuve,Luxe
665,1500000,Branes 2,100,2,1,50,construction neuve,Luxe
667,948000,Tanja Balia,79,2,1,39.5,moins de 5 ans,normal
668,1100000,M'Nar,200,3,2,66.66666667,moins de 5 ans,normal
669,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
670,720000,Ben Dibane,100,2,1,50,moins de 5 ans,normal
672,590000,Ahlane,100,2,1,50,moins de 5 ans,normal
674,1000000,Malabata,300,4,2,75,moins de 5 ans,normal
675,620000,Moujahidine,62,2,1,31,moins de 5 ans,normal
676,1800000,Iberie,50,2,1,25,construction neuve,Luxe
677,2600000,Achakar,160,3,2,53.33333333,construction neuve,Luxe
678,2500000,Moujahidine,110,3,2,36.66666667,construction neuve,Luxe
679,1500000,Malabata,88,2,1,44,construction neuve,Luxe
680,1700000,Jirrari,94,2,1,47,construction neuve,Luxe
681,470000,Moujahidine,70,2,1,35,plus de 5 ans,simple
682,620000,Moujahidine,160,3,2,53.33333333,moins de 5 ans,normal
685,2600000,Mghogha,57,2,1,28.5,construction neuve,Luxe
686,200000,Achakar,70,2,1,35,plus de 5 ans,simple
687,830000,Casabarata,131,3,2,43.66666667,moins de 5 ans,normal
688,2400000,Malabata,145,3,2,48.33333333,construction neuve,Luxe
