Type de bien,Price,Address,Surface,Nombre de chambres,Nombre de toilettes
Appartement,1500000.0,Achakar,165,3.0,2.0
Appartement,400000.0,Tanja Balia,60,2.0,1.0
Appartement,600000.0,Tanja Balia,120,3.0,2.0
Appartement,780000.0,Mghogha,120,3.0,2.0
Appartement,360000.0,Ahlane,52,2.0,1.0
Appartement,885000.0,Souani,122,3.0,2.0
Appartement,830000.0,Malabata,200,3.0,2.0
Appartement,3400000.0,Branes 1,132,3.0,2.0
Appartement,370000.0,Tanja Balia,100,2.0,1.0
Appartement,980000.0,Mesnana,200,3.0,2.0
Appartement,450000.0,Tanja Balia,54,2.0,1.0
Appartement,900000.0,Moulay Youssef,150,3.0,2.0
Appartement,1450000.0,Malabata,105,3.0,2.0
Appartement,750000.0,Tanja Balia,75,2.0,1.0
Appartement,150000.0,Mesnana,80,2.0,1.0
Appartement,260000.0,El Mers 2,60,2.0,1.0
Appartement,280000.0,El Mers 1,60,2.0,1.0
Appartement,450000.0,Tanja Balia,54,2.0,1.0
Appartement,550000.0,Ahlane,120,3.0,2.0
Appartement,700000.0,Val Fleuri,150,3.0,2.0
Appartement,750000.0,Tanja Balia,75,2.0,1.0
Appartement,950000.0,Branes 2,90,2.0,1.0
Appartement,700000.0,Tanja Balia,105,3.0,2.0
Appartement,870000.0,Branes 2,112,3.0,2.0
