,Surface,Address,Price
897,540,Malabata,3240000
898,110,Tanja Balia,825000
899,1500,M'nar,3300000
900,70,Tanja Balia,560000
901,614,Jbel Kbir,3991000
902,150,Tanja Balia,105000
903,216,Tanja Balia,1050000
904,70,Tanja Balia,560000
905,85,Tanja Balia,760000
906,70,Tanja Balia,560000
907,216,Tanja Balia,1050000
908,70,Tanja Balia,560000
909,98,Mghogha,558600
910,216,Tanja Balia,1050000
911,70,Tanja Balia,560000
912,4093,Mesnana,18418500
913,1200,Jbel Kbir,5400000
914,70,Tanja Balia,560000
915,216,Tanja Balia,1050000
916,2822,Castilla,2822
917,70,Tanja Balia,560000
918,216,Tanja Balia,1050000
919,340,Masnana,4420000
920,70,Tanja Balia,560000
921,166,Branes,1826000
922,70,Tanja Balia,560000
923,70,Tanja Balia,560000
924,216,Tanja Balia,1050000
925,70,Tanja Balia,560000
926,216,Tanja Balia,1050000
927,70,Tanja Balia,560000
928,216,Tanja Balia,1050000
929,70,Tanja Balia,560000
930,70,Tanja Balia,560000
931,216,Tanja Balia,1050000
932,70,Tanja Balia,560000
933,216,Tanja Balia,1050000
934,70,Tanja Balia,560000
935,70,Tanja Balia,560000
936,100,Tanja Balia,700000
937,70,Tanja Balia,560000
938,216,Tanja Balia,1050000
939,70,Tanja Balia,560000
940,70,Tanja Balia,546000
941,216,Tanja Balia,1050000
942,70,Tanja Balia,546000
943,216,Tanja Balia,1050000
944,70,Tanja Balia,546000
945,70,Tanja Balia,546000
946,216,Tanja Balia,1050000
947,70,Tanja Balia,546000
948,1216,Rmilat,3040000
949,93,Jirrari,1116000
950,108,Achakar,939600
951,100,Ahlane,250000
952,70,Tanja Balia,546000
953,216,Tanja Balia,1050000
954,70,Tanja Balia,546000
955,216,Tanja Balia,1050000
956,70,Tanja Balia,546000
957,216,Tanja Balia,1050000
958,70,Tanja Balia,546000
959,216,Tanja Balia,1050000
960,587,Centre ville,5870000
961,216,Tanja Balia,1050000
962,70,Tanja Balia,546000
963,216,Tanja Balia,1050000
